SITE,DESC,JAN,FEB,MAR,APRIL,MAY,JUNE,TOTAL
"6 - 1776 Post Road, RI ",SARGENTO STRING CHEESE STICK,26.00,39.00,61.00,59.00,62.00,39.00,286.00
"5 - 965 Fall River Ave, MA",SARGENTO STRING CHEESE STICK,17.00,34.00,37.00,58.00,78.00,42.00,266.00
"1- 533 East Main Rd, RI",.75OZ BABYBEL CHSE SINGLES,24.00,21.00,53.00,32.00,32.00,34.00,196.00
"1- 533 East Main Rd, RI",SARGENTO STICK COLBY JACK,35.00,22.00,26.00,20.00,14.00,47.00,164.00
"5 - 965 Fall River Ave, MA",FIORUCCI PANINOS PROSCUITTO MOZZ,13.00,27.00,46.00,30.00,30.00,13.00,159.00
"6 - 1776 Post Road, RI ",.75OZ BABYBEL CHSE SINGLES,25.00,38.00,41.00,15.00,22.00,10.00,151.00
"5 - 965 Fall River Ave, MA",.75OZ BABYBEL CHSE SINGLES,20.00,29.00,31.00,29.00,14.00,20.00,143.00
"6 - 1776 Post Road, RI ",FIORUCCI PANINOS PROSCUITTO MOZZ,9.00,20.00,28.00,31.00,23.00,27.00,138.00
"1- 533 East Main Rd, RI",SARGENTO STRING CHEESE PEPP JACK,32.00,23.00,26.00,9.00,14.00,23.00,127.00
"2 - 3302 East Main Rd, RI",HILLANDALE EGGS BRWN GRADE A LRG,28.00,22.00,20.00,21.00,15.00,13.00,119.00
"6 - 1776 Post Road, RI ",SARGENTO STRING CHEESE PEPP JACK,15.00,24.00,20.00,22.00,24.00,14.00,119.00
"1- 533 East Main Rd, RI",SARGENTO STICK MILD CHEDDAR,25.00,15.00,29.00,12.00,14.00,17.00,112.00
"5 - 965 Fall River Ave, MA",SARGENTO STICK COLBY JACK,3.00,13.00,18.00,26.00,28.00,18.00,106.00
"5 - 965 Fall River Ave, MA",SARGENTO STICK MILD CHEDDAR,0,16.00,19.00,23.00,25.00,23.00,106.00
"5 - 965 Fall River Ave, MA",SARGENTO STRING CHEESE PEPP JACK,6.00,25.00,19.00,19.00,20.00,17.00,106.00
"1- 533 East Main Rd, RI",FIORUCCI PANINOS PROSCUITTO MOZZ,15.00,15.00,27.00,21.00,14.00,12.00,104.00
"2 - 3302 East Main Rd, RI",SARGENTO STRING CHEESE STICK,12.00,16.00,18.00,23.00,19.00,16.00,104.00
"6 - 1776 Post Road, RI ",SARGENTO STICK COLBY JACK,22.00,13.00,13.00,22.00,21.00,13.00,104.00
"6 - 1776 Post Road, RI ",1.5OZ FIORUCCI PANINOS SALAMI MOZZ,24.00,27.00,26.00,15.00,9.00,0,101.00
"1- 533 East Main Rd, RI",FIORUCCI PANINOS SALAMI JACK 2PK,15.00,13.00,15.00,18.00,17.00,21.00,99.00
"2 - 3302 East Main Rd, RI",.75OZ BABYBEL CHSE SINGLES,10.00,14.00,32.00,14.00,13.00,12.00,95.00
